#LIST of BDM IBCH TAXA															
speciesID	name_BDM	family	class	order	grazer_scraper	miner	xylophagous	shredder	gatherer_collector	active_filter_feeder	passive_filter_feeder	predator	parasite	other	SUM
2	IBCH	Hydrozoa	Hydrozoa	Hydrozoa	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
4	IBCH	Dendrocoelidae	Turbellaria	Plathelminthes	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
5	IBCH	Dugesiidae	Turbellaria	Plathelminthes	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
6	IBCH	Planariidae	Turbellaria	Plathelminthes	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
7	IBCH	Nemathelminthes	Nemathelminthes	Nemathelminthes	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	10.000
8	IBCH	Erpobdellidae	Annelida	Hirudinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
9	IBCH	Glossiphoniidae	Annelida	Hirudinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
11	IBCH	Piscicolidae	Annelida	Hirudinea	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	10.000
12	IBCH	Oligochaeta	Annelida	Oligochaeta	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	10.000
14	IBCH	Ancylidae	Mollusca	Gastropoda	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
15	IBCH	Bithyniidae	Mollusca	Gastropoda	3.000	0.000	0.000	0.000	2.000	5.000	0.000	0.000	0.000	0.000	10.000
17	IBCH	Hydrobiidae	Mollusca	Gastropoda	10.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
18	IBCH	Lymnaeidae	Mollusca	Gastropoda	4.187	0.000	0.000	2.126	1.985	0.000	0.000	0.000	0.000	1.701	9.999
20	IBCH	Physidae	Mollusca	Gastropoda	4.524	0.000	0.000	1.905	1.905	0.000	0.000	0.000	0.000	1.667	10.001
21	IBCH	Planorbidae	Mollusca	Gastropoda	4.822	0.000	0.000	1.964	1.607	0.000	0.000	0.000	0.000	1.607	10.000
22	IBCH	Valvatidae	Mollusca	Gastropoda	4.314	0.000	0.000	0.000	5.686	0.000	0.000	0.000	0.000	0.000	10.000
26	IBCH	Sphaeriidae	Mollusca	Bivalvia	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	10.000
28	IBCH	Hydracarina	Acari	Hydracarina	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	10.000
31	IBCH	Gammaridae	Crustacea	Amphipoda	0.552	0.000	0.000	3.002	1.604	0.000	2.761	0.977	0.000	1.104	10.000
NA	IBCH	Pontogammaridae	Crustacea	Amphipoda	0.552	0.000	0.000	3.002	1.604	0.000	2.761	0.977	0.000	1.104	10.000
32	IBCH	Niphargidae	Crustacea	Amphipoda	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	10.000
33	IBCH	Asellidae	Crustacea	Isopoda	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000
36	IBCH	Astacidae	Crustacea	Decapoda	0.000	0.000	0.000	0.000	10.000	0.000	0.000	0.000	0.000	0.000	10.000
